Date,Fed_Funds_Rate,CPI,GDP,Unemployment_Rate,Money_Supply,Retail_Sales,Oil_Price
2012-04-14,0.14,229.187,17444.525,8.2,9899.8,356607.0,90.2
2012-04-15,0.14,229.187,17444.525,8.2,9899.8,356607.0,90.2
2012-04-16,0.14,229.187,17444.525,8.2,9899.8,356607.0,90.2
2012-04-17,0.14,229.187,17444.525,8.2,9899.8,356607.0,90.2
2012-04-18,0.14,229.187,17444.525,8.2,9899.8,356607.0,90.2
2012-04-19,0.14,229.187,17444.525,8.2,9899.8,356607.0,90.2
2012-04-20,0.14,229.187,17444.525,8.2,9899.8,356607.0,90.2
2012-04-21,0.14,229.187,17444.525,8.2,9899.8,356607.0,90.2
2012-04-22,0.14,229.187,17444.525,8.2,9899.8,356607.0,90.2
2012-04-23,0.14,229.187,17444.525,8.2,9899.8,356607.0,90.2
2012-04-24,0.14,229.187,17444.525,8.2,9899.8,356607.0,90.2
2012-04-25,0.14,229.187,17444.525,8.2,9899.8,356607.0,90.2
2012-04-26,0.14,229.187,17444.525,8.2,9899.8,356607.0,90.2
2012-04-27,0.14,229.187,17444.525,8.2,9899.8,356607.0,90.2
2012-04-28,0.14,229.187,17444.525,8.2,9899.8,356607.0,90.2
2012-04-29,0.14,229.187,17444.525,8.2,9899.8,356607.0,90.2
2012-04-30,0.14,229.187,17444.525,8.2,9899.8,356607.0,90.2
2012-05-01,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-02,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-03,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-04,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-05,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-06,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-07,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-08,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-09,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-10,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-11,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-12,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-13,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-14,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-15,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-16,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-17,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-18,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-19,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-20,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-21,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-22,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-23,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-24,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-25,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-26,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-27,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-28,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-29,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-30,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-05-31,0.16,228.713,17444.525,8.2,9943.0,355867.0,86.6
2012-06-01,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-06-02,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-06-03,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-06-04,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-06-05,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-06-06,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-06-07,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-06-08,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-06-09,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-06-10,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-06-11,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-06-12,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-06-13,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-06-14,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-06-15,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-06-16,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-06-17,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-06-18,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-06-19,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-06-20,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-06-21,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-06-22,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-06-23,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-06-24,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-06-25,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-06-26,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-06-27,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-06-28,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-06-29,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-06-30,0.16,228.524,17444.525,8.2,10013.0,352053.0,79.8
2012-07-01,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-02,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-03,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-04,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-05,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-06,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-07,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-08,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-09,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-10,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-11,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-12,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-13,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-14,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-15,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-16,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-17,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-18,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-19,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-20,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-21,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-22,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-23,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-24,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-25,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-26,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-27,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-28,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-29,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-30,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-07-31,0.16,228.59,17469.65,8.2,10065.7,353688.0,75.5
2012-08-01,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-02,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-03,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-04,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-05,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-06,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-07,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-08,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-09,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-10,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-11,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-12,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-13,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-14,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-15,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-16,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-17,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-18,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-19,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-20,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-21,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-22,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-23,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-24,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-25,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-26,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-27,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-28,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-29,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-30,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-08-31,0.13,229.918,17469.65,8.1,10136.4,358499.0,72.9
2012-09-01,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-09-02,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-09-03,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-09-04,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-09-05,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-09-06,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-09-07,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-09-08,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-09-09,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-09-10,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-09-11,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-09-12,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-09-13,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-09-14,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-09-15,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-09-16,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-09-17,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-09-18,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-09-19,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-09-20,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-09-21,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-09-22,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-09-23,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-09-24,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-09-25,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-09-26,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-09-27,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-09-28,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-09-29,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-09-30,0.14,231.015,17469.65,7.8,10216.6,361272.0,73.1
2012-10-01,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-02,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-03,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-04,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-05,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-06,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-07,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-08,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-09,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-10,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-11,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-12,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-13,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-14,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-15,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-16,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-17,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-18,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-19,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-20,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-21,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-22,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-23,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-24,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-25,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-26,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-27,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-28,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-29,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-30,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-10-31,0.16,231.638,17489.852,7.8,10282.8,361685.0,81.1
2012-11-01,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-11-02,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-11-03,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-11-04,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-11-05,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-11-06,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-11-07,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-11-08,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-11-09,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-11-10,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-11-11,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-11-12,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-11-13,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-11-14,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-11-15,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-11-16,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-11-17,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-11-18,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-11-19,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-11-20,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-11-21,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-11-22,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-11-23,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-11-24,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-11-25,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-11-26,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-11-27,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-11-28,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-11-29,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-11-30,0.16,231.249,17489.852,7.7,10351.8,362788.0,83.6
2012-12-01,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-02,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-03,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-04,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-05,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-06,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-07,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-08,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-09,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-10,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-11,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-12,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-13,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-14,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-15,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-16,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-17,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-18,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-19,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-20,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-21,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-22,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-23,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-24,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-25,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-26,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-27,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-28,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-29,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-30,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2012-12-31,0.16,231.221,17489.852,7.9,10474.4,364127.0,81.1
2013-01-01,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-02,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-03,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-04,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-05,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-06,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-07,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-08,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-09,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-10,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-11,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-12,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-13,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-14,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-15,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-16,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-17,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-18,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-19,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-20,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-21,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-22,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-23,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-24,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-25,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-26,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-27,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-28,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-29,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-30,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-01-31,0.14,231.679,17662.4,8.0,10497.6,366967.0,89.5
2013-02-01,0.15,232.937,17662.4,7.7,10516.6,372138.0,96.7
2013-02-02,0.15,232.937,17662.4,7.7,10516.6,372138.0,96.7
2013-02-03,0.15,232.937,17662.4,7.7,10516.6,372138.0,96.7
2013-02-04,0.15,232.937,17662.4,7.7,10516.6,372138.0,96.7
2013-02-05,0.15,232.937,17662.4,7.7,10516.6,372138.0,96.7
2013-02-06,0.15,232.937,17662.4,7.7,10516.6,372138.0,96.7
2013-02-07,0.15,232.937,17662.4,7.7,10516.6,372138.0,96.7
2013-02-08,0.15,232.937,17662.4,7.7,10516.6,372138.0,96.7
2013-02-09,0.15,232.937,17662.4,7.7,10516.6,372138.0,96.7
2013-02-10,0.15,232.937,17662.4,7.7,10516.6,372138.0,96.7
2013-02-11,0.15,232.937,17662.4,7.7,10516.6,372138.0,96.7
2013-02-12,0.15,232.937,17662.4,7.7,10516.6,372138.0,96.7
2013-02-13,0.15,232.937,17662.4,7.7,10516.6,372138.0,96.7
2013-02-14,0.15,232.937,17662.4,7.7,10516.6,372138.0,96.7
2013-02-15,0.15,232.937,17662.4,7.7,10516.6,372138.0,96.7
2013-02-16,0.15,232.937,17662.4,7.7,10516.6,372138.0,96.7
2013-02-17,0.15,232.937,17662.4,7.7,10516.6,372138.0,96.7
2013-02-18,0.15,232.937,17662.4,7.7,10516.6,372138.0,96.7
2013-02-19,0.15,232.937,17662.4,7.7,10516.6,372138.0,96.7
2013-02-20,0.15,232.937,17662.4,7.7,10516.6,372138.0,96.7
2013-02-21,0.15,232.937,17662.4,7.7,10516.6,372138.0,96.7
2013-02-22,0.15,232.937,17662.4,7.7,10516.6,372138.0,96.7
2013-02-23,0.15,232.937,17662.4,7.7,10516.6,372138.0,96.7
2013-02-24,0.15,232.937,17662.4,7.7,10516.6,372138.0,96.7
2013-02-25,0.15,232.937,17662.4,7.7,10516.6,372138.0,96.7
2013-02-26,0.15,232.937,17662.4,7.7,10516.6,372138.0,96.7
2013-02-27,0.15,232.937,17662.4,7.7,10516.6,372138.0,96.7
2013-02-28,0.15,232.937,17662.4,7.7,10516.6,372138.0,96.7
2013-03-01,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-02,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-03,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-04,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-05,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-06,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-07,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-08,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-09,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-10,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-11,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-12,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-13,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-14,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-15,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-16,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-17,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-18,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-19,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-20,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-21,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-22,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-23,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-24,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-25,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-26,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-27,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-28,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-29,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-30,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-03-31,0.14,232.282,17662.4,7.5,10572.9,368962.0,95.4
2013-04-01,0.15,231.797,17709.671,7.6,10600.4,367040.0,91.5
2013-04-02,0.15,231.797,17709.671,7.6,10600.4,367040.0,91.5
2013-04-03,0.15,231.797,17709.671,7.6,10600.4,367040.0,91.5
2013-04-04,0.15,231.797,17709.671,7.6,10600.4,367040.0,91.5
2013-04-05,0.15,231.797,17709.671,7.6,10600.4,367040.0,91.5
2013-04-06,0.15,231.797,17709.671,7.6,10600.4,367040.0,91.5
2013-04-07,0.15,231.797,17709.671,7.6,10600.4,367040.0,91.5
2013-04-08,0.15,231.797,17709.671,7.6,10600.4,367040.0,91.5
2013-04-09,0.15,231.797,17709.671,7.6,10600.4,367040.0,91.5
2013-04-10,0.15,231.797,17709.671,7.6,10600.4,367040.0,91.5
2013-04-11,0.15,231.797,17709.671,7.6,10600.4,367040.0,91.5
2013-04-12,0.15,231.797,17709.671,7.6,10600.4,367040.0,91.5
2013-04-13,0.15,231.797,17709.671,7.6,10600.4,367040.0,91.5
2013-04-14,0.15,231.797,17709.671,7.6,10600.4,367040.0,91.5
